algorithm model  d  ID   n nsims
1          intf_cv     A  4   1 500   100
2          intf_cv     A 10   2 500   100
3          intf_cv     A 30   3 500   100
4          intf_cv     B  4   4 500   100
5          intf_cv     B 10   5 500   100
6          intf_cv     B 30   6 500   100
7          intf_cv     C  4   7 500   100
8          intf_cv     C 10   8 500   100
9          intf_cv     C 30   9 500   100
10         intf_cv     D  4  10 500   100
11         intf_cv     D 10  11 500   100
12         intf_cv     D 30  12 500   100
13        intf_opt     A  4  13 500   100
14        intf_opt     A 10  14 500   100
15        intf_opt     A 30  15 500   100
16        intf_opt     B  4  16 500   100
17        intf_opt     B 10  17 500   100
18        intf_opt     B 30  18 500   100
19        intf_opt     C  4  19 500   100
20        intf_opt     C 10  20 500   100
21        intf_opt     C 30  21 500   100
22        intf_opt     D  4  22 500   100
23        intf_opt     D 10  23 500   100
24        intf_opt     D 30  24 500   100
25       ranger_cv     A  4  25 500   100
26       ranger_cv     A 10  26 500   100
27       ranger_cv     A 30  27 500   100
28       ranger_cv     B  4  28 500   100
29       ranger_cv     B 10  29 500   100
30       ranger_cv     B 30  30 500   100
31       ranger_cv     C  4  31 500   100
32       ranger_cv     C 10  32 500   100
33       ranger_cv     C 30  33 500   100
34       ranger_cv     D  4  34 500   100
35       ranger_cv     D 10  35 500   100
36       ranger_cv     D 30  36 500   100
37      ranger_opt     A  4  37 500   100
38      ranger_opt     A 10  38 500   100
39      ranger_opt     A 30  39 500   100
40      ranger_opt     B  4  40 500   100
41      ranger_opt     B 10  41 500   100
42      ranger_opt     B 30  42 500   100
43      ranger_opt     C  4  43 500   100
44      ranger_opt     C 10  44 500   100
45      ranger_opt     C 30  45 500   100
46      ranger_opt     D  4  46 500   100
47      ranger_opt     D 10  47 500   100
48      ranger_opt     D 30  48 500   100
49      rsrf_af_cv     A  4  49 500   100
50      rsrf_af_cv     A 10  50 500   100
51      rsrf_af_cv     A 30  51 500   100
52      rsrf_af_cv     B  4  52 500   100
53      rsrf_af_cv     B 10  53 500   100
54      rsrf_af_cv     B 30  54 500   100
55      rsrf_af_cv     C  4  55 500   100
56      rsrf_af_cv     C 10  56 500   100
57      rsrf_af_cv     C 30  57 500   100
58      rsrf_af_cv     D  4  58 500   100
59      rsrf_af_cv     D 10  59 500   100
